Assumption_Group,Code_or_Bucket,Operational_Definition,Observed_Count,Released_Evidence
Functional unit,Per pair,Primary comparison unit is one reference pair of adult footwear at purchase point; durability is analyzed separately through Annualized_CO2e.,40,expanded_dataset_40_models.csv; supplementary_outputs/S19_Functional_Unit_Sensitivity.csv
Size normalization,Reference adult product mass proxy,The screening model does not parameterize exact shoe size. Mass_kg is treated as a stored reference mass proxy suitable for cross-product comparison rather than as a directly measured pair weight.,40,expanded_dataset_40_models.csv
Mass coding,Stored mass proxy in kilograms,"Public-disclosure validation suggests the released Mass_kg field aligns more closely with single-shoe-scale official weights than with doubled pair-converted mass. Where no disclosure is available, the stored value is inferred from comparable products with similar category and upper/midsole/outsole architecture. The published 40-row carbon totals are not retroactively row-scaled from this diagnostic subset.",40,product_source_appendix_40_models.csv; supplementary_outputs/S14_Inventory_Calculation.csv; public_weight_validation_subset.csv
Price coding,Public list price,Price_USD represents the public list price used in the March 2026 screening dataset and may differ from later markdowns or regional colorway prices on reconstructed pages.,40,expanded_dataset_40_models.csv; product_source_appendix_40_models.csv
Source provenance,Official page hierarchy,"Exact official PDPs were preferred; when unrecoverable, official collection pages, regional PDPs, or official release pages were used and labeled explicitly in the released appendix.",40,product_source_appendix_40_models.csv; supplementary_outputs/S20_Provenance_Summary.csv
Lifespan coding,1.0,Daily-use screening assumption for high-mileage performance footwear.,9,expanded_dataset_40_models.csv; product_source_appendix_40_models.csv
Lifespan coding,1.5,Moderate-use screening assumption for versatile athletic footwear or lighter lifestyle/cleated constructions.,19,expanded_dataset_40_models.csv; product_source_appendix_40_models.csv
Lifespan coding,2.0,Longer-life screening assumption for sturdier performance or partial-/full-leather constructions.,6,expanded_dataset_40_models.csv; product_source_appendix_40_models.csv
Lifespan coding,2.5,Extended casual-use screening assumption for durable lifestyle sneakers.,3,expanded_dataset_40_models.csv; product_source_appendix_40_models.csv
Lifespan coding,3.0,Multi-year casual-use screening assumption for classic leather sneakers.,2,expanded_dataset_40_models.csv; product_source_appendix_40_models.csv
Lifespan coding,5.0,Long-life screening assumption for heavy leather oxford/boot-like construction.,1,expanded_dataset_40_models.csv; product_source_appendix_40_models.csv
