Model,Brand,Category,Upper_Material,Upper_Material_Type,Midsole,Outsole,Mass_kg,Price_USD,Lifespan_Years,CO2e_Materials,CO2e_Manufacturing,CO2e_Transport,CO2e_Packaging,CO2e_EOL,CO2e_Total,Water_L,Land_m2,Ecotox_CTUe,Recyclability_Score,Disassembly_Difficulty,Notes
Nike Pegasus 41,Nike,Running,Engineered mesh,Synthetic Textile,ReactX foam,Rubber,0.32,145,1.0,1.55,0.39,0.23,0.07,0.02,2.28,45,0.02,12,Medium,High,Daily trainer
Brooks Ghost 17,Brooks,Running,Engineered mesh,Synthetic Textile,DNA Loft v3 foam,Rubber,0.32,150,1.0,1.55,0.39,0.23,0.07,0.02,2.28,45,0.02,12,Medium,High,Carbon neutral certified
Hoka Clifton 9,Hoka,Running,Mesh upper,Synthetic Textile,EVA-based,Rubber,0.28,145,1.5,1.09,0.27,0.16,0.05,0.02,1.59,38,0.02,10,Medium,High,97% preferred materials
Adidas Ultraboost Light,Adidas,Running,Primeknit,Recycled Synthetic,Boost foam,Continental rubber,0.3,185,1.0,0.56,0.14,0.08,0.03,0.01,0.82,25,0.01,6,High,Medium,50% ocean plastic
ASICS Gel-Kayano 31,ASICS,Running,Mesh upper,Synthetic Textile,FF Blast+ foam,ASICSGRIP,0.34,165,1.0,1.55,0.39,0.23,0.07,0.02,2.28,45,0.02,12,Medium,High,Water-saving dyeing
New Balance Fresh Foam X 1080v13,New Balance,Running,Hypoknit mesh,Synthetic Textile,Fresh Foam X,Rubber,0.31,165,1.0,1.42,0.36,0.21,0.06,0.02,2.07,42,0.02,11,Medium,High,Green Leaf standard
Saucony Ride 17,Saucony,Running,Engineered mesh,Synthetic Textile,PWRRUN+ foam,Rubber,0.29,140,1.0,1.35,0.34,0.2,0.06,0.02,1.97,40,0.02,11,Medium,High,Recycled materials
On Cloudmonster,On,Running,Engineered mesh,Synthetic Textile,CloudTec,Rubber,0.27,170,1.0,1.28,0.32,0.19,0.06,0.02,1.87,38,0.02,10,Low,Very High,Complex CloudTec pods
Mizuno Wave Rider 27,Mizuno,Running,AIRmesh,Synthetic Textile,Mizuno Enerzy,Rubber,0.3,140,1.0,1.38,0.35,0.21,0.06,0.02,2.02,41,0.02,11,Medium,High,Standard construction
Under Armour HOVR Phantom 3,Under Armour,Running,Warp upper,Synthetic Textile,HOVR foam,Rubber,0.33,150,1.0,1.52,0.38,0.23,0.07,0.02,2.22,44,0.02,12,Medium,High,Connected shoe
Nike Sabrina 2,Nike,Basketball,Textile upper,Synthetic Textile,Cushlon foam,Rubber,0.38,135,1.5,0.98,0.25,0.15,0.04,0.01,1.44,35,0.02,9,Medium,High,Guard shoe
Nike LeBron 21,Nike,Basketball,Mesh/synthetic,Synthetic Textile,Zoom Air,Rubber,0.42,205,2.0,0.47,0.12,0.07,0.02,0.01,0.68,22,0.01,5,Medium,High,Heavy support
Nike KD 17,Nike,Basketball,Textile mesh + TPU,Synthetic Textile,Zoom Air,Rubber,0.36,155,1.5,0.47,0.12,0.07,0.02,0.01,0.68,22,0.01,5,Medium,High,Versatile forward
Adidas Harden Vol. 8,Adidas,Basketball,Synthetic upper,Synthetic Textile,Boost + Lightstrike,Rubber,0.4,160,1.5,1.09,0.27,0.16,0.05,0.02,1.59,38,0.02,10,Medium,High,End Plastic Waste
Nike Zoom GT Cut 3,Nike,Basketball,Mesh upper,Synthetic Textile,React + Zoom Air,Rubber,0.35,190,1.5,0.85,0.21,0.13,0.04,0.01,1.24,32,0.01,8,Medium,High,Cutting shoe
Adidas AE 1,Adidas,Basketball,Textile upper,Synthetic Textile,Lightstrike,Rubber,0.34,120,1.5,0.78,0.2,0.12,0.04,0.01,1.14,30,0.01,8,Medium,High,Anthony Edwards sig
Puma MB.03,Puma,Basketball,Mesh upper,Synthetic Textile,NITROFOAM,Rubber,0.33,135,1.5,0.75,0.19,0.11,0.03,0.01,1.09,28,0.01,7,Medium,High,LaMelo Ball sig
Jordan Luka 2,Jordan,Basketball,Mesh/synthetic,Synthetic Textile,Zoom Air,Rubber,0.37,120,1.5,0.88,0.22,0.13,0.04,0.01,1.28,33,0.01,9,Medium,High,Luka Doncic sig
New Balance TWO WXY v4,New Balance,Basketball,Synthetic mesh,Synthetic Textile,FuelCell,Rubber,0.36,130,1.5,0.82,0.21,0.12,0.04,0.01,1.2,31,0.01,8,Medium,High,Two-way player
Under Armour Curry 11,Under Armour,Basketball,UA Warp,Synthetic Textile,Flow,Rubber,0.34,160,1.5,0.78,0.2,0.12,0.04,0.01,1.14,30,0.01,8,Medium,High,Curry signature
Nike Air Force 1 '07,Nike,Casual,Full grain leather,Full Leather,Foam,Rubber,0.45,120,3.0,12.5,3.13,1.88,0.56,0.31,18.38,850,2.8,185,Low,Medium,Classic leather
Nike Air Force 1 '07 LV8,Nike,Casual,Tumbled leather,Full Leather,Foam,Rubber,0.44,130,3.0,12.25,3.06,1.84,0.55,0.31,18.0,835,2.75,182,Low,Medium,Premium leather
Adidas Stan Smith,Adidas,Casual,Full grain leather,Full Leather,EVA,Rubber,0.38,95,2.5,10.5,2.63,1.58,0.47,0.26,15.44,720,2.35,155,Low,Medium,Classic tennis
Adidas Stan Smith Primegreen,Adidas,Casual,Recycled synthetic,Recycled Synthetic,EVA,Rubber,0.35,108,1.5,0.9,0.23,0.13,0.04,0.01,1.32,28,0.01,7,High,Medium,50% recycled
