Model,Brand,Category,Upper_Material,Upper_Material_Type,Midsole,Outsole,Mass_kg,Price_USD,Lifespan_Years,CO2e_Materials,CO2e_Manufacturing,CO2e_Transport,CO2e_Packaging,CO2e_EOL,CO2e_Total,Water_L,Land_m2,Ecotox_CTUe,Recyclability_Score,Disassembly_Difficulty,Notes,Stored_Mass_kg_v1,Single_Shoe_Reference_Mass_kg_v2,Pair_Mass_kg_v2,Mass_Calibration_Source,Mass_Calibration_Factor,Official_Weight_URL,Official_Weight_Basis,Stated_Size_or_Context,Validation_Status
Nike Pegasus 41,Nike,Running,Engineered mesh,Synthetic Textile,ReactX foam,Rubber,0.594,145,1.0,2.88,0.72,0.43,0.13,0.04,4.2,84,0.04,22,Medium,High,Daily trainer. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.32,0.297,0.594,official_single_shoe_disclosure,1.856,https://www.nike.com/t/pegasus-41-mens-road-running-shoes-extra-wide-R6tpoXaD/FN4932-002,official_single_shoe_disclosure,Men's US 10,validated_official_weight_disclosure
Brooks Ghost 17,Brooks,Running,Engineered mesh,Synthetic Textile,DNA Loft v3 foam,Rubber,0.573,150,1.0,2.77,0.7,0.41,0.13,0.04,4.05,81,0.04,21,Medium,High,Carbon neutral certified. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.32,0.2863,0.5726,official_single_shoe_disclosure,1.789,https://www.brooksrunning.com/en_us/ghost-17/1104421D432.080.html,official_single_shoe_disclosure,Not stated in captured excerpt,validated_official_weight_disclosure
Hoka Clifton 9,Hoka,Running,Mesh upper,Synthetic Textile,EVA-based,Rubber,0.56,145,1.5,2.18,0.54,0.32,0.1,0.04,3.18,76,0.04,20,Medium,High,97% preferred materials. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.28,0.28,0.56,doubled_stored_proxy,2.0,,,,
Adidas Ultraboost Light,Adidas,Running,Primeknit,Recycled Synthetic,Boost foam,Continental rubber,0.598,185,1.0,1.12,0.28,0.16,0.06,0.02,1.64,50,0.02,12,High,Medium,50% ocean plastic. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.3,0.299,0.598,official_single_shoe_disclosure,1.993,https://www.adidas.com/cr/es/IE5828.html,official_single_shoe_disclosure,CO size 40.5 on official adidas locale page,validated_official_weight_disclosure
ASICS Gel-Kayano 31,ASICS,Running,Mesh upper,Synthetic Textile,FF Blast+ foam,ASICSGRIP,0.61,165,1.0,2.78,0.7,0.41,0.13,0.04,4.06,81,0.04,22,Medium,High,Water-saving dyeing. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.34,0.305,0.61,official_single_shoe_disclosure,1.794,https://www.asics.com/gb/en-gb/gel-kayano-31/p/1011B867-002.html?width=Standard,official_single_shoe_disclosure,Not stated in official excerpt,validated_official_weight_disclosure
New Balance Fresh Foam X 1080v13,New Balance,Running,Hypoknit mesh,Synthetic Textile,Fresh Foam X,Rubber,0.412,165,1.0,1.89,0.48,0.28,0.08,0.03,2.76,56,0.03,15,Medium,High,Green Leaf standard. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.31,0.206,0.412,official_single_shoe_disclosure,1.329,https://www.newbalance.com/pd/fresh-foam-x-1080v13/W1080V13-43098.html,official_single_shoe_disclosure,Women's model; size not stated in official excerpt,validated_official_weight_disclosure
Saucony Ride 17,Saucony,Running,Engineered mesh,Synthetic Textile,PWRRUN+ foam,Rubber,0.476,140,1.0,2.22,0.56,0.33,0.1,0.03,3.24,66,0.03,18,Medium,High,Recycled materials. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.29,0.238,0.476,official_single_shoe_disclosure,1.641,https://www.saucony.com/en/ride-17/58858W.html,official_single_shoe_disclosure,Women's model; size not stated in official excerpt,validated_official_weight_disclosure
On Cloudmonster,On,Running,Engineered mesh,Synthetic Textile,CloudTec,Rubber,0.55,170,1.0,2.61,0.65,0.39,0.12,0.04,3.81,77,0.04,20,Low,Very High,Complex CloudTec pods. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.27,0.275,0.55,official_single_shoe_disclosure,2.037,https://www.on.com/en-us/products/cloudmonster-61/mens/,official_single_shoe_disclosure,Not stated in captured excerpt,validated_official_weight_disclosure
Mizuno Wave Rider 27,Mizuno,Running,AIRmesh,Synthetic Textile,Mizuno Enerzy,Rubber,0.52,140,1.0,2.39,0.61,0.36,0.1,0.03,3.49,71,0.03,19,Medium,High,Standard construction. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.3,0.26,0.52,official_single_shoe_disclosure,1.733,https://emea.mizuno.com/eu/nl/wave-rider-27/J1GC230304.html,official_single_shoe_disclosure,Not stated in official excerpt,validated_official_weight_disclosure
Under Armour HOVR Phantom 3,Under Armour,Running,Warp upper,Synthetic Textile,HOVR foam,Rubber,0.522,150,1.0,2.4,0.6,0.36,0.11,0.03,3.5,70,0.03,19,Medium,High,Connected shoe. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.33,0.2608,0.5216,official_single_shoe_disclosure,1.581,https://www.underarmour.com/en-us/p/running/ua_hovr_phantom_3_womens_running_shoes/3025517.html,official_single_shoe_disclosure,Women's model; size not stated in official excerpt,validated_official_weight_disclosure
