Model,Brand,Category,Upper_Material,Upper_Material_Type,Midsole,Outsole,Mass_kg,Price_USD,Lifespan_Years,CO2e_Materials,CO2e_Manufacturing,CO2e_Transport,CO2e_Packaging,CO2e_EOL,CO2e_Total,Water_L,Land_m2,Ecotox_CTUe,Recyclability_Score,Disassembly_Difficulty,Notes,Is_Leather,Leather_Group,Annualized_CO2e
Nike Pegasus 41,Nike,Running,Engineered mesh,Synthetic Textile,ReactX foam,Rubber,0.32,145,1.0,1.55,0.39,0.23,0.07,0.02,2.28,45,0.02,12,Medium,High,Daily trainer,0,Non-leather,2.28
Brooks Ghost 17,Brooks,Running,Engineered mesh,Synthetic Textile,DNA Loft v3 foam,Rubber,0.32,150,1.0,1.55,0.39,0.23,0.07,0.02,2.28,45,0.02,12,Medium,High,Carbon neutral certified,0,Non-leather,2.28
Hoka Clifton 9,Hoka,Running,Mesh upper,Synthetic Textile,EVA-based,Rubber,0.28,145,1.5,1.09,0.27,0.16,0.05,0.02,1.59,38,0.02,10,Medium,High,97% preferred materials,0,Non-leather,1.06
Adidas Ultraboost Light,Adidas,Running,Primeknit,Recycled Synthetic,Boost foam,Continental rubber,0.3,185,1.0,0.56,0.14,0.08,0.03,0.01,0.82,25,0.01,6,High,Medium,50% ocean plastic,0,Non-leather,0.82
ASICS Gel-Kayano 31,ASICS,Running,Mesh upper,Synthetic Textile,FF Blast+ foam,ASICSGRIP,0.34,165,1.0,1.55,0.39,0.23,0.07,0.02,2.28,45,0.02,12,Medium,High,Water-saving dyeing,0,Non-leather,2.28
New Balance Fresh Foam X 1080v13,New Balance,Running,Hypoknit mesh,Synthetic Textile,Fresh Foam X,Rubber,0.31,165,1.0,1.42,0.36,0.21,0.06,0.02,2.07,42,0.02,11,Medium,High,Green Leaf standard,0,Non-leather,2.07
Saucony Ride 17,Saucony,Running,Engineered mesh,Synthetic Textile,PWRRUN+ foam,Rubber,0.29,140,1.0,1.35,0.34,0.2,0.06,0.02,1.97,40,0.02,11,Medium,High,Recycled materials,0,Non-leather,1.97
On Cloudmonster,On,Running,Engineered mesh,Synthetic Textile,CloudTec,Rubber,0.27,170,1.0,1.28,0.32,0.19,0.06,0.02,1.87,38,0.02,10,Low,Very High,Complex CloudTec pods,0,Non-leather,1.87
Mizuno Wave Rider 27,Mizuno,Running,AIRmesh,Synthetic Textile,Mizuno Enerzy,Rubber,0.3,140,1.0,1.38,0.35,0.21,0.06,0.02,2.02,41,0.02,11,Medium,High,Standard construction,0,Non-leather,2.02
Under Armour HOVR Phantom 3,Under Armour,Running,Warp upper,Synthetic Textile,HOVR foam,Rubber,0.33,150,1.0,1.52,0.38,0.23,0.07,0.02,2.22,44,0.02,12,Medium,High,Connected shoe,0,Non-leather,2.22
