Model,Category,Materials,Durability/Lifespan,Sustainability Claims,Price (USD),Performance Rating,Total_LCA_kgCO2e_per_pair,Estimated kgCO2e/kg,Price_Clean
Nike Pegasus 41,Running,"Engineered mesh, ReactX foam, rubber outsole",Daily trainer; 300–500 miles,Nike Move to Zero; lower-impact ReactX foam,$145,4.6/5 responsive daily trainer,2.2785,3.1,145.0
Brooks Ghost 17,Running,"Engineered mesh, DNA Loft v3 foam, rubber outsole",High durability; 300–500 miles,Certified carbon neutral; recycled mesh,$150,4.0/5 comfortable neutral shoe,2.2785,3.1,150.0
Hoka Clifton 9,Running,"Mesh upper, EVA-based midsole",Very durable for daily mileage,97% of models use preferred materials,$145,4.5/5 cushioning & comfort,1.59495,3.1,145.0
Adidas Ultraboost Light,Running,"Primeknit upper, Boost foam",Good midsole longevity,50% Parley Ocean Plastic upper,$180–190,4.4/5 comfort focus,0.8231999999999999,2.8,185.0
ASICS Gel-Kayano 31,Running,"Mesh upper, FF Blast+ foam, ASICSGRIP outsole","Stable, long-distance durability",Ecofoam + water-saving dyeing,$165,High 80s/100 stability,2.2785,3.1,165.0
Nike Sabrina 2,Basketball,"Textile upper, Cushlon foam, Zoom Air",Durable for full season indoor,Nike Move to Zero,$135,4.5/5 traction & guard shoe,1.4406,2.8,135.0
Nike LeBron 21,Basketball,"Mesh/synthetic, Zoom Air",Very durable; heavy support,Nike Move to Zero,$200–210,9/10 cushioning & impact protection,0.68355,3.1,205.0
Nike KD 17,Basketball,"Textile mesh + TPU, Zoom Air",Strong support; indoor durability,Nike Move to Zero,$150–160,8–9/10 versatile forward shoe,0.68355,3.1,155.0
Adidas Harden Vol. 8,Basketball,"Synthetic upper, Boost + Lightstrike",Durable cage; warm upper,Adidas End Plastic Waste,$160,8/10 court feel,1.59495,3.1,160.0
Nike Air Force 1 '07,Casual,"Leather upper, foam midsole, rubber outsole",Very durable; years of wear,Nike Move to Zero (Next Nature variants),$115–125,4.8/5 classic everyday shoe,18.375,25.0,120.0
Adidas Stan Smith Primegreen,Casual,"Synthetic upper (50% recycled), rubber outsole",Durable lifestyle use,Primegreen recycled materials,$95–120,4.5/5 comfort & style,1.323,3.0,107.5
Converse Chuck Taylor All Star,Casual,"Canvas upper, rubber vulcanized sole",Canvas wears; outsole tough,Converse Renew recycled canvas,$60–70,4.7/5 classic casual,1.323,3.0,65.0
New Balance 550,Casual,Leather/synthetic/mesh,Sturdy retro build,NB Green Leaf targets (preferred materials),$120,4.4/5 retro comfort,0.68355,3.1,120.0
Vans Old Skool,Casual,"Suede + canvas, vulcanized rubber",Durable outsole; upper varies,Vans 2030 renewable/recycled goals,$70–80,4.6/5 casual + skating,1.323,3.0,75.0
Nike Mercurial Superfly 10 Academy,Soccer,"NikeSkin synthetic upper, Air Zoom heel",Durable FG/AG takedown boot,Nike Move to Zero,$100–110,Top speed boot feel,0.68355,3.1,105.0
Nike Tiempo Legend 10 Elite,Soccer,FlyTouch Plus synthetic leather,Strong control boot; season durability,Synthetic leather alternative,$240–250,Elite defender/midfielder boot,5.5125,25.0,245.0
Adidas Predator 24 Elite,Soccer,"HybridTouch 2.0 synthetic, rubber fins",Durable for power players,20%+ recycled materials,$260,High control & striking,1.323,3.0,260.0
Puma Future 8 Ultimate,Soccer,"Mesh upper, PWRTAPE, GripControl",Durable for FG/AG hybrid use,20%+ recycled upper materials,$240,4.3/5 for agility players,0.68355,3.1,240.0
